"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"media.BY.int_fb","1.00","","","[1.00, 1.00]","1.00",0.0656999028177669,"0.01","0.00","0.07***","[0.04, 0.09]"
"media.BY.int_google","1.88","0.46","0.00","[0.98, 2.78]","1.88***",0.114945206017174,"0.01","0.00","0.11***","[0.09, 0.14]"
"media.BY.int_gov","9.27","1.99","0.00","[5.38, 13.16]","9.27***",0.458278243992402,"0.01","0.00","0.46***","[0.43, 0.48]"
"media.BY.int_ig","0.51","0.22","0.02","[0.08, 0.93]","0.51*",0.0377319991615183,"0.01","0.01","0.04**","[0.01, 0.07]"
"media.BY.int_maps","2.61","0.62","0.00","[1.40, 3.83]","2.61***",0.133598011205095,"0.01","0.00","0.13***","[0.11, 0.16]"
"media.BY.int_newspaper","3.15","0.71","0.00","[1.76, 4.55]","3.15***",0.176126834616795,"0.01","0.00","0.18***","[0.15, 0.20]"
"media.BY.int_nhs","13.91","2.98","0.00","[8.07, 19.75]","13.91***",0.735863871522406,"0.02","0.00","0.74***","[0.71, 0.77]"
"media.BY.int_tw","1.26","0.42","0.00","[0.44, 2.08]","1.26**",0.0549291079054382,"0.01","0.00","0.05***","[0.03, 0.08]"
"media.BY.int_who","11.04","2.36","0.00","[6.41, 15.67]","11.04***",0.492518469638786,"0.01","0.00","0.49***","[0.47, 0.52]"
"sense_of_control.ON.feelinginformed","0.39","0.07","0.00","[0.26, 0.52]","0.39***",0.0642628354066544,"0.01","0.00","0.06***","[0.04, 0.09]"
"sense_of_control.ON.avoidance_actions","0.05","0.09","0.60","[-0.13, 0.22]","0.05",0.0061059155156955,"0.01","0.60","0.01","[-0.02, 0.03]"
"sense_of_control.ON.media","3.21","0.99","0.00","[1.26, 5.16]","3.21**",0.0603352368552533,"0.01","0.00","0.06***","[0.03, 0.09]"
"sense_of_control.ON.freqcomcov","-0.58","0.05","0.00","[-0.68, -0.47]","-0.58***",-0.123489455499027,"0.01","0.00","-0.12***","[-0.15, -0.10]"
"sense_of_control.ON.coping_actions","0.62","0.17","0.00","[0.28, 0.96]","0.62***",0.0413955971756244,"0.01","0.00","0.04***","[0.02, 0.06]"
"sense_of_control.ON.government_actions","0.63","0.09","0.00","[0.46, 0.81]","0.63***",0.142861684111182,"0.02","0.00","0.14***","[0.10, 0.18]"
"sense_of_control.ON.institutional_trust","0.13","0.08","0.13","[-0.04, 0.29]","0.13",0.0303104238171486,"0.02","0.13","0.03","[-0.01, 0.07]"
"sense_of_control.ON.government_actions:institutional_trust","0.02","0.05","0.61","[-0.07, 0.11]","0.02",0.00566244393602065,"0.01","0.61","0.01","[-0.02, 0.03]"
"feelinginformed.ON.media","0.44","0.15","0.00","[0.14, 0.75]","0.44**",0.0503663498040695,"0.01","0.00","0.05***","[0.02, 0.08]"
"Variances.int_fb","1.88","0.03","0.00","[1.82, 1.93]","1.88***",0.995683522769736,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.int_google","2.15","0.03","0.00","[2.08, 2.22]","2.15***",0.986787599613669,"0.00","0.00","0.99***","[0.98, 0.99]"
"Variances.int_gov","2.63","0.05","0.00","[2.53, 2.73]","2.63***",0.78998105108324,"0.01","0.00","0.79***","[0.77, 0.81]"
"Variances.int_ig","1.46","0.02","0.00","[1.41, 1.50]","1.46***",0.998576296239275,"0.00","0.00","1.00***","[1.00, 1.00]"
"Variances.int_maps","3.06","0.05","0.00","[2.96, 3.15]","3.06***",0.982151571402043,"0.00","0.00","0.98***","[0.97, 0.99]"
"Variances.int_newspaper","2.53","0.04","0.00","[2.45, 2.61]","2.53***",0.968979338127868,"0.00","0.00","0.97***","[0.96, 0.98]"
"Variances.int_nhs","1.33","0.07","0.00","[1.20, 1.46]","1.33***",0.458504362588056,"0.02","0.00","0.46***","[0.41, 0.50]"
"Variances.int_tw","4.26","0.07","0.00","[4.13, 4.39]","4.26***",0.996982793104713,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.int_who","3.09","0.06","0.00","[2.97, 3.22]","3.09***",0.757425557064668,"0.01","0.00","0.76***","[0.73, 0.78]"
"Variances.sense_of_control","21.81","0.35","0.00","[21.12, 22.49]","21.81***",0.949000832411579,"0.00","0.00","0.95***","[0.94, 0.96]"
"Variances.feelinginformed","0.63","0.01","0.00","[0.61, 0.65]","0.63***",0.997463230807414,"0.00","0.00","1.00***","[0.99, 1.00]"
"Variances.media","0.01","0.00","0.02","[0.00, 0.01]","0.01*",1,"","","1.00","[1.00, 1.00]"
"Variances.avoidance_actions","0.38","","","[0.38, 0.38]","0.38",1,"","","1.00","[1.00, 1.00]"
"avoidance_actions.WITH.freqcomcov","0.07","","","[0.07, 0.07]","0.07",0.110876894490747,"","","0.11","[0.11, 0.11]"
"avoidance_actions.WITH.coping_actions","0.05","","","[0.05, 0.05]","0.05",0.245604292630448,"","","0.25","[0.25, 0.25]"
"avoidance_actions.WITH.government_actions","-0.08","","","[-0.08, -0.08]","-0.08",-0.113955278566544,"","","-0.11","[-0.11, -0.11]"
"avoidance_actions.WITH.institutional_trust","-0.12","","","[-0.12, -0.12]","-0.12",-0.167396680133641,"","","-0.17","[-0.17, -0.17]"
"avoidance_actions.WITH.government_actions:institutional_trust","0.04","","","[0.04, 0.04]","0.04",0.0553307813591838,"","","0.06","[0.06, 0.06]"
"Variances.freqcomcov","1.05","","","[1.05, 1.05]","1.05",1,"","","1.00","[1.00, 1.00]"
"freqcomcov.WITH.coping_actions","0.08","","","[0.08, 0.08]","0.08",0.236157480160645,"","","0.24","[0.24, 0.24]"
"freqcomcov.WITH.government_actions","-0.02","","","[-0.02, -0.02]","-0.02",-0.0172850780947306,"","","-0.02","[-0.02, -0.02]"
"freqcomcov.WITH.institutional_trust","0.00","","","[0.00, 0.00]","0.00",0.00185097721263035,"","","0.00","[0.00, 0.00]"
"freqcomcov.WITH.government_actions:institutional_trust","0.02","","","[0.02, 0.02]","0.02",0.0205839626660993,"","","0.02","[0.02, 0.02]"
"Variances.coping_actions","0.10","","","[0.10, 0.10]","0.10",1,"","","1.00","[1.00, 1.00]"
"coping_actions.WITH.government_actions","-0.02","","","[-0.02, -0.02]","-0.02",-0.0620037793510431,"","","-0.06","[-0.06, -0.06]"
"coping_actions.WITH.institutional_trust","-0.02","","","[-0.02, -0.02]","-0.02",-0.0558836448538316,"","","-0.06","[-0.06, -0.06]"
"coping_actions.WITH.government_actions:institutional_trust","0.01","","","[0.01, 0.01]","0.01",0.0265135773999904,"","","0.03","[0.03, 0.03]"
"Variances.government_actions","1.17","","","[1.17, 1.17]","1.17",1,"","","1.00","[1.00, 1.00]"
"government_actions.WITH.institutional_trust","1.04","","","[1.04, 1.04]","1.04",0.83520143484216,"","","0.84","[0.84, 0.84]"
"government_actions.WITH.government_actions:institutional_trust","0.18","","","[0.18, 0.18]","0.18",0.143318316087711,"","","0.14","[0.14, 0.14]"
"Variances.institutional_trust","1.34","","","[1.34, 1.34]","1.34",1,"","","1.00","[1.00, 1.00]"
"institutional_trust.WITH.government_actions:institutional_trust","0.08","","","[0.08, 0.08]","0.08",0.0614084322106872,"","","0.06","[0.06, 0.06]"
"Variances.government_actions:institutional_trust","1.32","","","[1.32, 1.32]","1.32",1,"","","1.00","[1.00, 1.00]"
"Means.int_fb","0.76","0.02","0.00","[0.73, 0.79]","0.76***",0.551245195637509,"0.01","0.00","0.55***","[0.53, 0.57]"
"Means.int_google","0.74","0.02","0.00","[0.71, 0.77]","0.74***",0.5001435459299,"0.01","0.00","0.50***","[0.48, 0.52]"
"Means.int_gov","0.58","0.02","0.00","[0.54, 0.62]","0.58***",0.316737311914497,"0.01","0.00","0.32***","[0.29, 0.34]"
"Means.int_ig","0.36","0.01","0.00","[0.33, 0.39]","0.36***",0.296769735649447,"0.01","0.00","0.30***","[0.27, 0.32]"
"Means.int_maps","0.89","0.02","0.00","[0.85, 0.93]","0.89***",0.503090730453703,"0.01","0.00","0.50***","[0.48, 0.53]"
"Means.int_newspaper","0.71","0.02","0.00","[0.67, 0.74]","0.71***",0.437086709059162,"0.01","0.00","0.44***","[0.41, 0.46]"
"Means.int_nhs","0.37","0.02","0.00","[0.33, 0.41]","0.37***",0.217834302235566,"0.01","0.00","0.22***","[0.20, 0.24]"
"Means.int_tw","1.08","0.02","0.00","[1.03, 1.12]","1.08***",0.521680300534586,"0.01","0.00","0.52***","[0.50, 0.55]"
"Means.int_who","0.29","0.02","0.00","[0.25, 0.34]","0.29***",0.144176982538782,"0.01","0.00","0.14***","[0.12, 0.17]"
"Means.sense_of_control","-0.04","0.07","0.56","[-0.18, 0.10]","-0.04",-0.00873285891289084,"0.01","0.56","-0.01","[-0.04, 0.02]"
"Means.feelinginformed","0.01","0.01","0.56","[-0.01, 0.02]","0.01",0.00655751163980199,"0.01","0.56","0.01","[-0.02, 0.03]"
"Means.avoidance_actions","-0.00","","","[-0.00, -0.00]","-0.00",-0.00332848751149858,"","","-0.00","[-0.00, -0.00]"
"Means.freqcomcov","0.00","","","[0.00, 0.00]","0.00",0.00446276681237346,"","","0.00","[0.00, 0.00]"
"Means.coping_actions","0.00","","","[0.00, 0.00]","0.00",0.00487559079217443,"","","0.00","[0.00, 0.00]"
"Means.government_actions","-0.01","","","[-0.01, -0.01]","-0.01",-0.00864438625358508,"","","-0.01","[-0.01, -0.01]"
"Means.institutional_trust","-0.01","","","[-0.01, -0.01]","-0.01",-0.00560081388043254,"","","-0.01","[-0.01, -0.01]"
"Means.government_actions:institutional_trust","1.04","","","[1.04, 1.04]","1.04",0.908013607782959,"","","0.91","[0.91, 0.91]"
"Means.media","0.00","","","[0.00, 0.00]","0.00",0,"","","0.00","[0.00, 0.00]"
"ind.:=.b*c","0.17","0.07","0.01","[0.04, 0.30]","0.17**",0.0032366844474929,"0.00","0.00","0.00**","[0.00, 0.01]"
"tot.:=.a+(b*c)","3.38","1.02","0.00","[1.38, 5.38]","3.38***",0.0635719213027462,"0.01","0.00","0.06***","[0.04, 0.09]"
