"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
17.3,7.5094,322.243766684126,186.663027013879,3.07302266666666,3.76040185555555,17.3646774285715,0.00133333333333333,0.00784848484848485,3,2.81790651570652
19.7,6.34893333333333,178.910447373182,127.305907822733,3.85639633333334,3.13960933333334,17.7319486666667,0.439733333333333,0.368566666666667,3.93526666666666,3.69416060606061
15.2,8,330.079209396642,194.984504447556,3.07956,3.76359085555556,17.3453280952381,0,0.00531515151515152,3,2.96449352869353
33.9,4,89.6835912682414,82.239563905539,4.10425633333333,1.9634726,18.818293,0.962,0.980733333333333,4.0832,1.26046666666667
21.5,4.4124,124.382543966654,96.5403068792319,3.87531533333333,2.664395,19.1237086666667,0.920233333333333,0.728533333333334,3.99733333333333,1.51366666666667
26,4,111.740868807924,86.5974453629704,4.10890700000001,2.1552883,18.586105,0.9357,0.9645,4.08626666666667,1.4721
17.3,7.5094,322.243766684126,186.663027013879,3.07302266666666,3.76040185555555,17.3646774285715,0.00133333333333333,0.00784848484848485,3,2.81790651570652
30.4,4,90.6825663476066,84.3059652042403,4.09012433333333,1.9528694,18.6810763333333,0.962,0.982333333333334,4.0847,1.3107
17.8,6.6066,195.788817237501,126.250003060828,3.75464533333334,3.39188733333335,18.0790506666667,0.5505,0.0765,3.64256666666667,3.6313
30.4,4,90.6825663476066,84.3059652042403,4.09012433333333,1.9528694,18.6810763333333,0.962,0.982333333333334,4.0847,1.3107
13.3,8,368.063884172977,227.904717245869,3.25787933333334,3.99263379999999,16.9803016666667,0,0.0160484848484849,3.007,3.71099194139194
30.4,4,90.6825663476066,84.3059652042403,4.09012433333333,1.9528694,18.6810763333333,0.962,0.982333333333334,4.0847,1.3107
21.4,5.00686666666667,184.55440473138,114.973928607504,3.85508066666667,3.01015616666667,18.3087723333333,0.8397,0.5584,4.12853333333333,2.81543333333333
21.4,5.00686666666667,184.55440473138,114.973928607504,3.85508066666667,3.01015616666667,18.3087723333333,0.8397,0.5584,4.12853333333333,2.81543333333333
14.7,8,366.414748299961,228.646350579202,3.235139,3.96714713333333,17.002588,0,0.0220484848484849,3.007,3.69699194139194
19.7,6.34893333333333,178.910447373182,127.305907822733,3.85639633333334,3.13960933333334,17.7319486666667,0.439733333333333,0.368566666666667,3.93526666666666,3.69416060606061
10.4,8,404.041276325269,224.239540444892,3.172165,4.48511006666666,17.3619003333333,0,0.00771515151515152,3.007,3.55081336996337
19.2,6.80433333333334,190.835633535647,126.137341156066,3.84479233333334,3.34169533333335,17.9933986666667,0.517733333333333,0.0996666666666667,3.85016666666666,3.6263
15.8,8,331.734189079182,196.977321330673,3.131959,3.68862393333333,17.2340240952381,0,0.00584848484848485,3.008,2.93472686202686
17.8,6.6066,195.788817237501,126.250003060828,3.75464533333334,3.39188733333335,18.0790506666667,0.5505,0.0765,3.64256666666667,3.6313
24.4,4.002,120.537355315861,87.1662580613831,3.95871433333334,2.53723686666667,18.9382063333333,0.9267,0.7965,4.03016666666667,1.42276666666667
21.4,5.00686666666667,184.55440473138,114.973928607504,3.85508066666667,3.01015616666667,18.3087723333333,0.8397,0.5584,4.12853333333333,2.81543333333333
15.2,8,330.079209396642,194.984504447556,3.07956,3.76359085555556,17.3453280952381,0,0.00531515151515152,3,2.96449352869353
10.4,8,404.041276325269,224.239540444892,3.172165,4.48511006666666,17.3619003333333,0,0.00771515151515152,3.007,3.55081336996337
24.4,4.002,120.537355315861,87.1662580613831,3.95871433333334,2.53723686666667,18.9382063333333,0.9267,0.7965,4.03016666666667,1.42276666666667
26,4,111.740868807924,86.5974453629704,4.10890700000001,2.1552883,18.586105,0.9357,0.9645,4.08626666666667,1.4721
15.8,8,331.734189079182,196.977321330673,3.131959,3.68862393333333,17.2340240952381,0,0.00584848484848485,3.008,2.93472686202686
10.4,8,404.041276325269,224.239540444892,3.172165,4.48511006666666,17.3619003333333,0,0.00771515151515152,3.007,3.55081336996337
10.4,8,404.041276325269,224.239540444892,3.172165,4.48511006666666,17.3619003333333,0,0.00771515151515152,3.007,3.55081336996337
14.7,8,366.414748299961,228.646350579202,3.235139,3.96714713333333,17.002588,0,0.0220484848484849,3.007,3.69699194139194
15.8,8,331.734189079182,196.977321330673,3.131959,3.68862393333333,17.2340240952381,0,0.00584848484848485,3.008,2.93472686202686
18.7,7.09000000000001,334.170842896081,190.020454877682,3.15888233333333,3.65147126666667,17.185146,0.0119,0.0128484848484848,3.008,2.68253984903985
