"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"depression.ON.perceived_threat","0.07","0.00","0.00","[0.07, 0.08]","0.07***",0.153761913262427,"0.01","0.00","0.15***","[0.14, 0.17]"
"depression.ON.sense_of_control","-0.04","0.00","0.00","[-0.04, -0.03]","-0.04***",-0.296348087210913,"0.01","0.00","-0.30***","[-0.32, -0.28]"
"depression.ON.social_isolation","0.17","0.01","0.00","[0.16, 0.19]","0.17***",0.328410956880092,"0.01","0.00","0.33***","[0.31, 0.35]"
"depression.ON.perceived_threat:sense_of_control","0.00","0.00","0.95","[-0.00, 0.00]","0.00",0.00059927580730846,"0.01","0.95","0.00","[-0.02, 0.02]"
"depression.ON.perceived_threat:social_isolation","0.01","0.00","0.00","[0.01, 0.02]","0.01**",0.0324357605306435,"0.01","0.00","0.03**","[0.01, 0.05]"
"anxiety.ON.perceived_threat","0.15","0.01","0.00","[0.14, 0.16]","0.15***",0.277699424490427,"0.01","0.00","0.28***","[0.26, 0.30]"
"anxiety.ON.sense_of_control","-0.04","0.00","0.00","[-0.04, -0.03]","-0.04***",-0.274879786135861,"0.01","0.00","-0.27***","[-0.29, -0.26]"
"anxiety.ON.social_isolation","0.15","0.01","0.00","[0.14, 0.16]","0.15***",0.251751116969718,"0.01","0.00","0.25***","[0.23, 0.27]"
"anxiety.ON.perceived_threat:sense_of_control","-0.00","0.00","0.10","[-0.00, 0.00]","-0.00",-0.0161904478190583,"0.01","0.10","-0.02","[-0.04, 0.00]"
"anxiety.ON.perceived_threat:social_isolation","0.00","0.00","0.30","[-0.00, 0.01]","0.00",0.0104284161606186,"0.01","0.30","0.01","[-0.01, 0.03]"
"depression.WITH.anxiety","0.10","0.00","0.00","[0.10, 0.11]","0.10***",0.433572044727958,"0.01","0.00","0.43***","[0.42, 0.45]"
"Variances.depression","0.21","0.00","0.00","[0.21, 0.22]","0.21***",0.648892634113674,"0.01","0.00","0.65***","[0.63, 0.66]"
"Variances.anxiety","0.27","0.00","0.00","[0.26, 0.28]","0.27***",0.657800778959081,"0.01","0.00","0.66***","[0.64, 0.67]"
"Variances.perceived_threat","1.40","","","[1.40, 1.40]","1.40",1,"","","1.00","[1.00, 1.00]"
"perceived_threat.WITH.sense_of_control","-1.33","","","[-1.33, -1.33]","-1.33",-0.233805845706313,"","","-0.23","[-0.23, -0.23]"
"perceived_threat.WITH.social_isolation","0.26","","","[0.26, 0.26]","0.26",0.20053738282628,"","","0.20","[0.20, 0.20]"
"perceived_threat.WITH.perceived_threat:sense_of_control","0.01","","","[0.01, 0.01]","0.01",0.0020940380159674,"","","0.00","[0.00, 0.00]"
"perceived_threat.WITH.perceived_threat:social_isolation","0.09","","","[0.09, 0.09]","0.09",0.0552993918932498,"","","0.06","[0.06, 0.06]"
"Variances.sense_of_control","23.05","","","[23.05, 23.05]","23.05",1,"","","1.00","[1.00, 1.00]"
"sense_of_control.WITH.social_isolation","-2.23","","","[-2.23, -2.23]","-2.23",-0.430311392442985,"","","-0.43","[-0.43, -0.43]"
"sense_of_control.WITH.perceived_threat:sense_of_control","0.73","","","[0.73, 0.73]","0.73",0.0257729122892631,"","","0.03","[0.03, 0.03]"
"sense_of_control.WITH.perceived_threat:social_isolation","-0.42","","","[-0.42, -0.42]","-0.42",-0.0638455240177669,"","","-0.06","[-0.06, -0.06]"
"Variances.social_isolation","1.16","","","[1.16, 1.16]","1.16",1,"","","1.00","[1.00, 1.00]"
"social_isolation.WITH.perceived_threat:sense_of_control","-0.42","","","[-0.42, -0.42]","-0.42",-0.0656797562202157,"","","-0.07","[-0.07, -0.07]"
"social_isolation.WITH.perceived_threat:social_isolation","0.26","","","[0.26, 0.26]","0.26",0.173119224147695,"","","0.17","[0.17, 0.17]"
"Variances.perceived_threat:sense_of_control","35.21","","","[35.21, 35.21]","35.21",1,"","","1.00","[1.00, 1.00]"
"perceived_threat:sense_of_control.WITH.perceived_threat:social_isolation","-3.41","","","[-3.41, -3.41]","-3.41",-0.420742160332302,"","","-0.42","[-0.42, -0.42]"
"Variances.perceived_threat:social_isolation","1.87","","","[1.87, 1.87]","1.87",1,"","","1.00","[1.00, 1.00]"
"Means.depression","-0.00","0.01","0.51","[-0.01, 0.01]","-0.00",-0.00606119990313328,"0.01","0.51","-0.01","[-0.02, 0.01]"
"Means.anxiety","-0.00","0.01","0.58","[-0.01, 0.01]","-0.00",-0.00515480187409075,"0.01","0.58","-0.01","[-0.02, 0.01]"
"Means.perceived_threat","0.00","","","[0.00, 0.00]","0.00",0.000344620165834758,"","","0.00","[0.00, 0.00]"
"Means.sense_of_control","-0.01","","","[-0.01, -0.01]","-0.01",-0.00129846361418531,"","","-0.00","[-0.00, -0.00]"
"Means.social_isolation","0.00","","","[0.00, 0.00]","0.00",0.000491005437707374,"","","0.00","[0.00, 0.00]"
"Means.perceived_threat:sense_of_control","-1.33","","","[-1.33, -1.33]","-1.33",-0.224209553820318,"","","-0.22","[-0.22, -0.22]"
"Means.perceived_threat:social_isolation","0.26","","","[0.26, 0.26]","0.26",0.187334043843156,"","","0.19","[0.19, 0.19]"
