"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"depression.ON.perceived_threat","0.11","0.00","0.00","[0.10, 0.12]","0.11***",0.23141566540484,"0.01","0.00","0.23***","[0.21, 0.25]"
"depression.ON.social_isolation","0.18","0.00","0.00","[0.17, 0.19]","0.18***",0.345349700317268,"0.01","0.00","0.35***","[0.33, 0.36]"
"depression.ON.perceived_threat:social_isolation","0.01","0.00","0.00","[0.00, 0.02]","0.01**",0.0278868452470339,"0.01","0.00","0.03**","[0.01, 0.05]"
"anxiety.ON.perceived_threat","0.18","0.01","0.00","[0.17, 0.19]","0.18***",0.34561674903061,"0.01","0.00","0.35***","[0.33, 0.36]"
"anxiety.ON.sense_of_control","-0.03","0.00","0.00","[-0.04, -0.03]","-0.03***",-0.256396963973649,"0.01","0.00","-0.26***","[-0.27, -0.24]"
"anxiety.ON.perceived_threat:sense_of_control","-0.00","0.00","0.00","[-0.01, -0.00]","-0.00***",-0.034940167090967,"0.01","0.00","-0.03***","[-0.05, -0.02]"
"depression.WITH.anxiety","0.12","0.00","0.00","[0.11, 0.12]","0.12***",0.437562843373565,"0.01","0.00","0.44***","[0.42, 0.46]"
"Variances.depression","0.24","0.00","0.00","[0.23, 0.25]","0.24***",0.790300803941988,"0.01","0.00","0.79***","[0.78, 0.80]"
"Variances.anxiety","0.30","0.00","0.00","[0.29, 0.31]","0.30***",0.771740193353962,"0.01","0.00","0.77***","[0.76, 0.79]"
"Variances.perceived_threat","1.40","","","[1.40, 1.40]","1.40",1,"","","1.00","[1.00, 1.00]"
"perceived_threat.WITH.social_isolation","0.26","","","[0.26, 0.26]","0.26",0.20053738282628,"","","0.20","[0.20, 0.20]"
"perceived_threat.WITH.perceived_threat:social_isolation","0.09","","","[0.09, 0.09]","0.09",0.0552993918932498,"","","0.06","[0.06, 0.06]"
"perceived_threat.WITH.sense_of_control","-1.33","","","[-1.33, -1.33]","-1.33",-0.233805845706313,"","","-0.23","[-0.23, -0.23]"
"perceived_threat.WITH.perceived_threat:sense_of_control","0.01","","","[0.01, 0.01]","0.01",0.0020940380159674,"","","0.00","[0.00, 0.00]"
"Variances.social_isolation","1.16","","","[1.16, 1.16]","1.16",1,"","","1.00","[1.00, 1.00]"
"social_isolation.WITH.perceived_threat:social_isolation","0.26","","","[0.26, 0.26]","0.26",0.173119224147695,"","","0.17","[0.17, 0.17]"
"social_isolation.WITH.sense_of_control","-2.23","","","[-2.23, -2.23]","-2.23",-0.430311392442985,"","","-0.43","[-0.43, -0.43]"
"social_isolation.WITH.perceived_threat:sense_of_control","-0.42","","","[-0.42, -0.42]","-0.42",-0.0656797562202157,"","","-0.07","[-0.07, -0.07]"
"Variances.perceived_threat:social_isolation","1.87","","","[1.87, 1.87]","1.87",1,"","","1.00","[1.00, 1.00]"
"perceived_threat:social_isolation.WITH.sense_of_control","-0.42","","","[-0.42, -0.42]","-0.42",-0.0638455240177669,"","","-0.06","[-0.06, -0.06]"
"perceived_threat:social_isolation.WITH.perceived_threat:sense_of_control","-3.41","","","[-3.41, -3.41]","-3.41",-0.420742160332302,"","","-0.42","[-0.42, -0.42]"
"Variances.sense_of_control","23.05","","","[23.05, 23.05]","23.05",1,"","","1.00","[1.00, 1.00]"
"sense_of_control.WITH.perceived_threat:sense_of_control","0.73","","","[0.73, 0.73]","0.73",0.0257729122892631,"","","0.03","[0.03, 0.03]"
"Variances.perceived_threat:sense_of_control","35.21","","","[35.21, 35.21]","35.21",1,"","","1.00","[1.00, 1.00]"
"Means.depression","-0.00","0.01","0.62","[-0.01, 0.01]","-0.00",-0.00497477107637542,"0.01","0.62","-0.00","[-0.02, 0.01]"
"Means.anxiety","-0.00","0.01","0.46","[-0.02, 0.01]","-0.00",-0.00724907757153371,"0.01","0.46","-0.01","[-0.03, 0.01]"
"Means.perceived_threat","0.00","","","[0.00, 0.00]","0.00",0.000344620165834758,"","","0.00","[0.00, 0.00]"
"Means.social_isolation","0.00","","","[0.00, 0.00]","0.00",0.000491005437707374,"","","0.00","[0.00, 0.00]"
"Means.perceived_threat:social_isolation","0.26","","","[0.26, 0.26]","0.26",0.187334043843156,"","","0.19","[0.19, 0.19]"
"Means.sense_of_control","-0.01","","","[-0.01, -0.01]","-0.01",-0.00129846361418531,"","","-0.00","[-0.00, -0.00]"
"Means.perceived_threat:sense_of_control","-1.33","","","[-1.33, -1.33]","-1.33",-0.224209553820318,"","","-0.22","[-0.22, -0.22]"
